Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2012-03-15,61.417,90.300,90.680,89.930,90.400,1382000,-0.133,-0.001
2012-03-16,60.751,89.320,90.500,89.250,90.300,2116300,-1.085,-0.011
2012-03-19,60.914,89.560,89.690,88.890,88.920,900000,0.269,0.003
2012-03-20,60.765,89.340,89.560,88.640,89.290,1355500,-0.246,-0.002
2012-03-21,60.839,89.450,89.720,89.260,89.310,1289800,0.123,0.001
2012-03-22,60.805,89.400,89.660,88.840,89.120,1412400,-0.056,-0.001
2012-03-23,61.057,89.770,89.880,89.200,89.600,1032600,0.414,0.004
2012-03-26,61.649,90.640,90.770,90.090,90.230,1340000,0.969,0.010
2012-03-27,61.792,90.850,91.090,90.550,90.640,1119700,0.232,0.002
2012-03-28,61.003,89.690,91.080,89.320,90.780,1353700,-1.277,-0.013
2012-03-29,60.962,89.630,89.690,88.830,89.470,1331500,-0.067,-0.001
2012-03-30,61.118,89.860,90.160,89.600,90.000,1275100,0.257,0.003
2012-04-02,62.002,91.160,91.610,89.410,89.410,1678000,1.447,0.014
2012-04-03,61.941,91.070,91.420,90.650,91.020,1257700,-0.099,-0.001
2012-04-04,61.445,90.340,90.950,90.260,90.860,1632700,-0.802,-0.008
2012-04-05,61.315,90.150,90.770,89.830,90.040,1808400,-0.210,-0.002
2012-04-09,60.356,88.740,89.360,88.710,89.360,1331600,-1.564,-0.016
2012-04-10,59.629,87.670,88.640,87.670,88.500,1441100,-1.206,-0.012
2012-04-11,60.186,88.490,88.950,88.230,88.370,1386800,0.935,0.009
2012-04-12,61.329,90.170,90.410,88.700,88.800,1467900,1.899,0.019
2012-04-13,60.737,89.300,90.590,89.290,89.930,1481300,-0.965,-0.010
2012-04-16,60.921,89.570,89.800,89.080,89.550,2807200,0.302,0.003
2012-04-17,61.622,90.600,90.780,89.030,89.540,1373200,1.150,0.011
2012-04-18,61.465,90.370,90.770,89.930,90.290,946800,-0.254,-0.003
2012-04-19,61.445,90.340,90.970,90.030,90.700,1500100,-0.033,-0.000
2012-04-20,61.785,90.840,91.240,90.320,90.450,1118800,0.553,0.006
2012-04-23,61.574,90.530,90.740,89.940,89.990,1414300,-0.341,-0.003
2012-04-24,61.982,91.130,91.290,90.530,90.630,1291400,0.663,0.007
2012-04-25,61.880,90.980,91.890,90.620,91.740,1843400,-0.165,-0.002
2012-04-26,62.370,91.700,92.240,91.110,91.410,1976200,0.791,0.008
2012-04-27,62.098,91.300,92.090,91.200,92.080,1526500,-0.436,-0.004
2012-04-30,61.581,90.540,91.100,90.460,91.100,1146200,-0.832,-0.008
2012-05-01,61.588,90.550,91.020,90.160,90.610,1629300,0.011,0.000
2012-05-02,61.268,90.080,90.290,89.710,89.710,2000800,-0.519,-0.005
2012-05-03,60.853,89.470,90.080,89.230,89.830,1459400,-0.677,-0.007
2012-05-04,59.737,87.830,89.550,87.830,89.280,2082600,-1.833,-0.019
2012-05-07,59.384,87.310,88.110,86.980,87.780,2172100,-0.592,-0.006
2012-05-08,59.261,87.130,87.220,86.250,86.990,1669100,-0.206,-0.002
2012-05-09,58.459,85.950,86.910,85.920,86.530,1756900,-1.354,-0.014
2012-05-10,58.574,86.120,86.910,86.000,86.590,1317200,0.198,0.002
2012-05-11,57.956,85.210,86.330,85.170,86.180,1919300,-1.057,-0.011
2012-05-14,57.949,85.200,85.400,84.170,84.660,1186500,-0.012,-0.000
2012-05-15,57.534,84.590,85.370,84.420,85.030,1403600,-0.716,-0.007
2012-05-16,57.357,84.330,85.320,84.290,84.930,1319000,-0.307,-0.003
2012-05-17,56.337,82.830,84.300,82.780,84.220,1398700,-1.779,-0.018
2012-05-18,56.303,82.780,83.780,82.600,83.160,1563200,-0.060,-0.001
2012-05-21,56.881,83.630,83.660,82.520,83.250,1250100,1.027,0.010
2012-05-22,56.922,83.690,84.230,83.090,83.600,1532600,0.072,0.001
2012-05-23,56.690,83.350,83.480,82.190,83.370,1572500,-0.406,-0.004
2012-05-24,56.704,83.370,83.580,82.510,83.580,5978900,0.024,0.000
2012-05-25,56.255,82.710,83.620,82.620,83.250,6308500,-0.792,-0.008
2012-05-29,56.901,83.660,83.690,82.830,83.290,7994200,1.149,0.011
2012-05-30,56.998,82.800,83.250,81.520,82.400,1959200,0.169,0.002
2012-05-31,56.998,82.800,83.470,82.620,82.740,1613900,0.000,0.000
2012-06-01,55.910,81.220,82.020,81.010,81.640,1797300,-1.908,-0.019
2012-06-04,55.793,81.050,81.960,80.440,81.230,1506700,-0.209,-0.002
2012-06-05,55.635,80.820,80.920,80.140,80.810,1416600,-0.284,-0.003
2012-06-06,56.709,82.380,82.440,81.280,81.790,3648700,1.930,0.019
2012-06-07,57.239,83.150,83.650,82.690,83.040,1777100,0.935,0.009
2012-06-08,57.335,83.290,83.410,82.650,82.940,1117400,0.168,0.002
2012-06-11,56.764,82.460,83.790,82.390,83.790,886400,-0.997,-0.010
2012-06-12,57.390,83.370,83.790,82.750,83.080,1475000,1.104,0.011
2012-06-13,56.908,82.670,83.440,82.400,82.970,1132900,-0.840,-0.008
2012-06-14,57.363,83.330,83.600,82.440,82.850,1358200,0.798,0.008
2012-06-15,57.445,83.450,83.890,83.170,83.380,1708000,0.144,0.001
2012-06-18,58.347,84.760,84.840,83.340,83.480,1500800,1.570,0.016
2012-06-19,58.719,85.300,85.610,84.440,85.020,1498700,0.637,0.006
2012-06-20,58.195,84.540,85.270,84.120,85.160,1156900,-0.891,-0.009
2012-06-21,58.078,84.370,85.530,84.270,85.180,1618200,-0.201,-0.002
2012-06-22,58.753,85.350,85.500,84.220,84.730,1567400,1.161,0.012
2012-06-25,57.996,84.250,85.250,84.170,84.670,1532200,-1.289,-0.013
2012-06-26,57.397,83.380,84.680,83.150,84.560,1480900,-1.033,-0.010
2012-06-27,58.450,84.910,85.180,83.430,83.430,1245800,1.835,0.018
2012-06-28,58.189,84.530,84.750,83.460,84.090,1049700,-0.448,-0.004
2012-06-29,59.944,87.080,87.090,86.000,86.000,2172800,3.017,0.030
2012-07-02,59.999,87.160,87.650,86.510,87.320,1088000,0.092,0.001
2012-07-03,60.240,87.510,87.510,87.090,87.220,1076400,0.402,0.004
2012-07-05,59.889,87.000,87.540,86.850,87.160,1738700,-0.583,-0.006
2012-07-06,59.792,86.860,87.000,86.110,86.430,893000,-0.161,-0.002
2012-07-09,60.157,87.390,87.550,86.820,86.890,1384000,0.610,0.006
2012-07-10,59.903,87.020,88.230,86.710,87.670,963200,-0.423,-0.004
2012-07-11,59.779,86.840,87.300,86.520,87.100,1402100,-0.207,-0.002
2012-07-12,59.214,86.020,86.610,85.650,86.410,1610200,-0.944,-0.009
2012-07-13,60.061,87.250,87.330,86.100,86.130,1378300,1.430,0.014
2012-07-16,59.985,87.140,87.220,86.160,87.010,1118300,-0.126,-0.001
2012-07-17,60.185,87.430,87.810,86.720,87.140,1300400,0.333,0.003
2012-07-18,60.990,88.600,88.670,87.270,87.400,1154000,1.338,0.013
2012-07-19,60.928,88.510,88.800,87.770,88.800,1234700,-0.102,-0.001
2012-07-20,60.378,87.710,88.490,87.380,88.070,1348300,-0.904,-0.009
2012-07-23,59.827,86.910,87.290,86.570,86.900,1541200,-0.912,-0.009
2012-07-24,60.433,87.790,89.160,86.930,87.490,2029800,1.013,0.010
2012-07-25,60.357,87.680,88.220,86.560,88.120,2346300,-0.125,-0.001
